Location,Data,Goal,Coordinates,Title,Category,Data category
Southern Chile,Remote sensing imagery,Detecting forest disturbance,"-39.500000, -72.000000","DETECTING AND EVALUATING DISTURBANCE IN TEMPERATE RAINFOREST WITH SENTINEL-2, MACHINE LEARNING AND FOREST PARAMETERS",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Vietnam,Satellite imagery,Estimating aboveground biomass,"13.46278, 108.73847","Forest aboveground biomass estimation using machine learning regression algorithm in Yok Don National Park, Vietnam",Canopy and biomass estimation,Satellite imagery
Sarajevo Canton,Sentinel-2A satellite data,Estimating forest attributes,"43.84863, 18.35644",Modelling Stand Variables of Beech Coppice Forest Using Spectral Sentinel-2A Data and the Machine Learning Approach,Canopy and biomass estimation,Satellite imagery or LiDAR
South Korea,Satellite data,Tree species classification,"37.5665, 126.9783","Machine Learning for Tree Species Classification Using Sentinel-2 Spectral Information, Crown Texture, and Environmental Variables",Tree species classification,Satellite imagery or LiDAR
Tropical submontane forest,Satellite imagery,Classifying endangered tree species,"1.234567, -78.901234",Machine Learning Classification of Endangered Tree Species in a Tropical Submontane Forest Using WorldView-2 Multispectral Satellite Imagery and Imbalanced Dataset,Tree species classification,Satellite imagery
"Bavaria, Germany",High resolution remote sensing data,Forest damage assessment,"48.79045, 10.45014",Forest Damage Assessment Using Deep Learning on High Resolution Remote Sensing Data,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Chicago, USA",LiDAR and multi-spectral imagery,Estimating canopy cover and height,"41.8781, -87.6298",Monitoring canopy quality and improving equitable outcomes of urban tree planting using LiDAR and machine learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing imagery,Assessing urban forest biodiversity,Not specified,Assessing urban forest biodiversity through automatic taxonomic identification of street trees from citizen science applications and remote-sensing imagery,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,GNSS reflectometry data,Retrieving soil moisture and forest biomass,Not specified,COMBINING CYGNSS AND MACHINE LEARNING FOR SOIL MOISTURE AND FOREST BIOMASS RETRIEVAL IN VIEW OF THE ESA SCOUT HYDROGNSS MISSION,Canopy and biomass estimation,Sensor data
Not specified,High-density airborne LiDAR point clouds,Individual tree segmentation,Not specified,Automated forest inventory: Analysis of high-density airborne LiDAR point clouds with 3D deep learning,Tree species classification,Satellite imagery or LiDAR
United States,LiDAR,Estimating urban vegetation biomass,"37.09024, -95.71289",Estimating Urban Forests Biomass with LiDAR by Using Deep Learning Foundation Models,Canopy and biomass estimation,Satellite imagery or LiDAR
Temperate deciduous forest,UAV RGB imagery,Tree crown detection,"40.50000, -105.00000",Tree Crown Detection and Delineation in a Temperate Deciduous Forest from UAV RGB Imagery Using Deep Learning Approaches: Effects of Spatial Resolution and Species Characteristics,Tree species classification,Drone imagery
"British Columbia, Canada",CALIPSO satellite data,Predicting minimum height of forest fire smoke,"53.7267, -127.6476",Predicting the minimum height of forest fire smoke within the atmosphere using machine learning and data from the CALIPSO satellite,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Germany,Sentinel-2,Tree species classification,"51.1657, 10.4515",Mapping Dominant Tree Species of German Forests,Tree species classification,Satellite imagery or LiDAR
Brazil,Hyperspectral imagery,Identifying single tree species,"-14.2350, -51.9253",A Novel Deep Learning Method to Identify Single Tree Species in UAV-Based Hyperspectral Images,Tree species classification,Drone imagery
"Red River Delta Biosphere Reserve, Vietnam",Remote sensing data,Estimating mangrove above-ground biomass,"21.2021, 105.4034","Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam",Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,Lidar data,Estimating forest heights and wood volume,"-14.235004, -51.92528",ESTIMATING FOREST HEIGHTS AND WOOD VOLUME USING A DEEP LEARNING APPROACH FROM GEDI WAVEFORM DATA,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,High-resolution imagery,Estimating quantities of coarse woody debris,Not specified,"Automated Mapping of Woody Debris over Harvested Forest Plantations Using UAVs, High-Resolution Imagery, and Machine Learning",Canopy and biomass estimation,Drone imagery
Not specified,Terrestrial laser scans,Detecting individual tree crowns,Not specified,Detecting Individual-Tree Crown Regions from Terrestrial Laser Scans with an Anchor-Free Deep Learning Model,Tree species classification,LiDAR
Not specified,Tree height estimation data,Estimating tree height,Not specified,Estimation of tree height with machine learning techniques in coppice-originated pure sessile oak (Quercus petraea (Matt.) Liebl.) stands,Canopy and biomass estimation,Animal or plant data
India,Remote sensing data,Predicting forest fires,"15.300000, 74.500000","Environmental drivers and spatial prediction of forest fires in the Western Ghats biodiversity hotspot, India: An ensemble machine learning approach",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,WorldView-3 multispectral satellite imagery,Mapping canopy gaps,"0.0, 0.0",A machine learning approach to mapping canopy gaps in an indigenous tropical submontane forest using WorldView-3 multispectral satellite imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
Iran,Satellite imagery,Estimating canopy cover,"34.00000, 48.00000",Estimation of Semiarid Forest Canopy Cover Using Optimal Field Sampling and Satellite Data with Machine Learning Algorithms,Canopy and biomass estimation,Satellite imagery
Northern France,Airborne laser scanner data,Identifying riparian trees genera,"48.80143, -0.95647",Riparian trees genera identification based on leaf-on/leaf-off airborne laser scanner data and machine learning classifiers in northern France,Tree species classification,LiDAR
Not specified,LiDAR,Estimating forest attributes,Not specified,The Use of Three-Dimensional Convolutional Neural Networks to Interpret LiDAR for Forest Inventory,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,VHR remote sensing images,Detecting individual red-attacked trees,Not specified,Simple weakly supervised deep learning pipeline for detecting individual red-attacked trees in VHR remote sensing images,Tree species classification,Satellite imagery or LiDAR
Gwangneung Area,Satellite images,Tree species classification,"37.64033, 127.28530",The Development of Major Tree Species Classification Model using Different Satellite Images and Machine Learning in Gwangneung Area,Tree species classification,Satellite imagery
"Uttarakhand, India",Terrestrial Laser Scanner and ALOS PALSAR data,Estimating Aboveground Biomass,"30.4000, 78.5000",Aboveground Forest Biomass Estimation by the Integration of TLS and ALOS PALSAR Data Using Machine Learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Suwon,Airborne LiDAR data,Individual tree detection,"37.26339, 127.02821",Detection of Individual Trees in Human Settlement Using Airborne LiDAR Data and Deep Learning-Based Urban Green Space Map,Tree species classification,Satellite imagery or LiDAR
Brazilian Amazon,Satellite imagery,Estimating aboveground biomass,"-8.50000, -63.00000",Evaluating SAR-optical sensor fusion for aboveground biomass estimation in a Brazilian tropical forest,Canopy and biomass estimation,Satellite imagery
Not specified,Remote sensing data,Estimating canopy height,Not specified,"A Machine-Learning Approach to PolInSAR and LiDAR Data Fusion for Improved Tropical Forest Canopy Height Estimation Using NASA AfriSAR Campaign Data (vol 11, pg 3453, 2019)",Canopy and biomass estimation,Satellite imagery or LiDAR
"Heilongjiang Province, China",Remote sensing data,Estimating forest canopy height,"47.35852, 127.96000","Forest Canopy Height Mapping by Synergizing ICESat-2, Sentinel-1, Sentinel-2 and Topographic Information Based on Machine Learning Methods",Canopy and biomass estimation,Satellite imagery or LiDAR
"Sulawesi Selatan, Indonesia",Sentinel 1 and 2 data,Monitoring illegal logging,"-2.99217, 120.22402","Monitoring Illegal Logging Using Google Earth Engine in Sulawesi Selatan Tropical Forest, Indonesia",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Brazil,Remote sensing data,Estimating aboveground biomass,"3.26256, -54.67474",Artificial intelligence tools and vegetation indices combined to estimate aboveground biomass in tropical forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,Satellite imagery,Detecting forest plantations,"-25.4284, -49.2733",FOREST PLANTATION DETECTION THROUGH DEEP SEMANTIC SEGMENTATION,Forest cover assessment,Satellite imagery
Not specified,UAV images,Individual tree detection and delineation,"30.5728, 104.0668",The co-effect of image resolution and crown size on deep learning for individual tree detection and delineation,Tree species classification,Drone imagery
Not specified,Lidar data,Tree species classification,Not specified,Combination of Lidar Intensity and Texture Features Enable Accurate Prediction of Common Boreal Tree Species With Single Sensor UAS Data,Tree species classification,Satellite imagery or LiDAR
Not specified,Hyperspectral remote sensing images,Forest fire detection,Not specified,An Improved Bald Eagle Search Algorithm with Deep Learning Model for Forest Fire Detection Using Hyperspectral Remote Sensing Images,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Myanmar,Remote sensing images,Quantifying changes in mangrove forests,"19.70077, 95.99934","Machine Learning-Based examination of recent mangrove forest changes in the western Irrawaddy River Delta, Southeast Asia",Forest cover assessment,Satellite imagery or LiDAR
Brazil,Planet NICFI satellite images,Mapping deforestation,"-12.000000, -55.000000",Mapping Tropical Forest Cover and Deforestation with Planet NICFI Satellite Images and Deep Learning in Mato Grosso State (Brazil) from 2015 to 2021,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Aerial images,Tree crown detection,Not specified,Crown-CAM: Interpretable Visual Explanations for Tree Crown Detection in Aerial Images,Tree species classification,Drone imagery
Not specified,RGB high-resolution aerial images,Individual tree detection,Not specified,Benchmarking Anchor-Based and Anchor-Free State-of-the-Art Deep Learning Methods for Individual Tree Detection in RGB High-Resolution Images,Tree species classification,Drone imagery
"USA, Canada, Russia",Remote sensing data,Forecasting wildfires,"55.0, -97.0",Past and future of wildfires in Northern Hemisphere's boreal forests,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Central India,Landsat imagery,Mapping burned area,"21.1458, 79.0882",Evaluating methods to map burned area at 30-meter resolution in forests and agricultural areas of Central India,Forest fire monitoring and prevention,Satellite imagery or LiDAR
"Barro Colorado Island, Panama",Drone imagery,Monitoring flowering phenology,"8.15000, -79.65000",Cost-effective and accurate monitoring of flowering across multiple tropical tree species over two years with a time series of high-resolution drone imagery and deep learning,Tree species classification,Drone imagery
Not specified,Mobile photography,Tree height measurement,Not specified,Intelligent Estimating the Tree Height in Urban Forests Based on Deep Learning Combined with a Smartphone and a Comparison with UAV-LiDAR,Canopy and biomass estimation,Ground-level photographs
Polish Carpathians,Sentinel-2 imagery,Forest stand species mapping,"49.3372, 21.4182",Evaluation of machine learning algorithms for forest stand species mapping using Sentinel-2 imagery and environmental data in the Polish Carpathians,Tree species classification,Satellite imagery or LiDAR
Not specified,WorldView-2 data,Predicting Leaf Area Index (LAI) of endangered tree species,"-30.89698, 31.07116",Empirical Prediction of Leaf Area Index (LAI) of Endangered Tree Species in Intact and Fragmented Indigenous Forests Ecosystems Using WorldView-2 Data and Two Robust Machine Learning Algorithms,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Analyzing forest vitality and damage,Not specified,FirSt 2.0 - Vitality- and Forest Damage Analysis with Remote Sensing and artificial Intelligence,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,High-Resolution Remote Sensing Images,Urban tree localization and reconstruction,Not specified,TreeDetector: Using Deep Learning for the Localization and Reconstruction of Urban Trees from High-Resolution Remote Sensing Images,Tree species classification,Satellite imagery or LiDAR
"Primorsky Region, Russian Far East",Very high resolution RGB satellite images,Individual tree recognition,"42.22196, 132.92519","Using U-Net-Like Deep Convolutional Neural Networks for Precise Tree Recognition in Very High Resolution RGB (Red, Green, Blue) Satellite Images",Tree species classification,Satellite imagery or LiDAR
Not specified,Hyperspectral aerial image,Identifying invasive forest tree species,Not specified,Deep learning-based training data augmentation combined with post-classification improves the classification accuracy for dominant and scattered invasive forest tree species,Tree species classification,Drone imagery
China,Remote sensing data,Assessing forest loss and gain patterns,"27.6148, 111.2918",Contrasting Forest Loss and Gain Patterns in Subtropical China Detected Using an Integrated LandTrendr and Machine-Learning Method,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV imagery,Forest fire detection,Not specified,Forest Flame Detection in Unmanned Aerial Vehicle Imagery Based on YOLOv5,Forest fire monitoring and prevention,Drone imagery
Not specified,Remote sensing data,Estimating aboveground carbon stock,"34.00000, 49.00000",A comparative assessment of multi-temporal Landsat 8 and machine learning algorithms for estimating aboveground carbon stock in coppice oak forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Satellite images,Forest mapping,Not specified,Forest data visualization and land mapping using support vector machines and decision trees,Forest cover assessment,Satellite imagery
"Bavaria, Germany",Sentinel-2 data,Classifying tree species,"48.79045, 11.49303",Evaluation of Different Machine Learning Algorithms for Scalable Classification of Tree Types and Tree Species Based on Sentinel-2 Data,Tree species classification,Satellite imagery or LiDAR
South Korea,UAV visible and multispectral images,Detecting infected pine trees with pine wilt disease,"35.90785, 127.76692",A Detection Method for Individual Infected Pine Trees with Pine Wilt Disease Based on Deep Learning,Habitat degradation and biodiversity monitoring,Drone imagery
Southeastern Xiaoxinganling Mountains,Remote sensing data,Monitoring spatiotemporal trends of forest carbon stocks,"47.0000, 129.0000",Simulation of Spatial and Temporal Distribution of Forest Carbon Stocks in Long Time Series-Based on Remote Sensing and Deep Learning,Canopy and biomass estimation,Satellite imagery or LiDAR
"Pennsylvania, USA",Airborne LiDAR surveys,Mapping timber harvest activity,"41.20332, -77.19452",Mapping recent timber harvest activity in a temperate forest using single date airborne LiDAR surveys and machine learning: lessons for conservation planning,Forest cover assessment,Satellite imagery or LiDAR
China,Airborne remote sensing imagery,Detecting standing dead trees,"35.86166, 104.195397",Detection of Standing Dead Trees after Pine Wilt Disease Outbreak with Airborne Remote Sensing Imagery by Multi-Scale Spatial Attention Deep Learning and Gaussian Kernel Approach,Tree species classification,Satellite imagery or LiDAR
Corsica,Image datasets,Fire detection,"41.59420, 9.15385",DCP-Net: An Efficient Image Segmentation Model for Forest Wildfires,Forest fire monitoring and prevention,Ground-level photographs
Hainan Island,Remote sensing data,Monitoring changes in spatiotemporal distribution of mangrove forests,"19.1829, 109.7373",Research on the Spatiotemporal Evolution of Mangrove Forests in the Hainan Island from 1991 to 2021 Based on SVM and Res-UNet Algorithms,Forest cover assessment,Satellite imagery or LiDAR
"Nanping city, Fujian Province",Satellite remote sensing data,Monitoring Pine Wilt Disease,"26.67622, 118.18444",Satellite Remote Sensing Identification of Discolored Standing Trees for Pine Wilt Disease Based on Semi-Supervised Deep Learning,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,PolInSAR and LiDAR data,Forest height estimation,"0, 0",PolGAN: A deep-learning-based unsupervised forest height estimation based on the synergy of PolInSAR and LiDAR data,Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,Multi-temporal remote sensing data,Monitoring forest change,"-4.03629, -52.10567",Monitoring Forest Change in the Amazon Using Multi-Temporal Remote Sensing Data and Machine Learning Classification on Google Earth Engine,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating forest carbon stocks and sinks,Not specified,Estimating divergent forest carbon stocks and sinks via a knife set approach,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Hyperspatial imagery,Mapping burn extent,Not specified,Mapping Forest Burn Extent from Hyperspatial Imagery Using Machine Learning,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Drone imagery,Forest fire detection,Not specified,Development of a Surveillance System for Forest Fire Detection and Monitoring using Drones,Forest fire monitoring and prevention,Drone imagery
Not specified,UAV imagery,Individual tree-crown detection,Not specified,How Does Sample Labeling and Distribution Affect the Accuracy and Efficiency of a Deep Learning Model for Individual Tree-Crown Detection and Delineation,Tree species classification,Drone imagery
"El Yunque National Forest, Puerto Rico",High-resolution aerial photos and LiDAR,Examining the effects of hurricanes on forest height and palm density,"18.3172, -65.7574",20th-Century hurricanes leave long-lasting legacies on tropical forest height and the abundance of a dominant wind-resistant palm,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Panama,Time-series images,Monitoring leaf phenology,"8.98019, -79.52078",Monitoring leaf phenology in moist tropical forests by applying a superpixel-based deep learning method to time-series images of tree canopies,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,LiDAR data,Precision forest management,Not specified,SEMANTIC SEGMENTATION OF UAV LIDAR DATA FOR TREE PLANTATIONS,Tree species classification,Satellite imagery or LiDAR
"California, USA",Sentinel-1 SAR imagery,Monthly mapping of forest harvesting,"36.77826, -119.41793",Monthly mapping of forest harvesting using dense time series Sentinel-1 SAR imagery and deep learning,Forest cover assessment,Satellite imagery or LiDAR
Western Iran,Sentinel-2 data,Estimating above-ground biomass,"32.4279, 53.6880",Above-ground biomass estimation in a Mediterranean sparse coppice oak forest using Sentinel-2 data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAS imagery,Early detection and classification of encroaching Juniperus virginiana,Not specified,Early Detection of Encroaching Woody Juniperus virginiana and Its Classification in Multi-Species Forest Using UAS Imagery and Semantic Segmentation Algorithms,Tree species classification,Drone imagery
Jiuzhaigou National Nature Reserve,Landsat 8 OLI and Sentinel-2B images,Estimating aboveground biomass,"33.1664, 103.9034","Machine learning-based estimates of aboveground biomass of subalpine forests using Landsat 8 OLI and Sentinel-2B images in the Jiuzhaigou National Nature Reserve, Eastern Tibet Plateau",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV hyperspectral data,Canopy parameter estimation,Not specified,Coupling the PROSAIL Model and Machine Learning Approach for Canopy Parameter Estimation of Moso Bamboo Forests from UAV Hyperspectral Data,Canopy and biomass estimation,Drone imagery
Australia,Satellite imagery,Estimating woody vegetation height,"-12.46333, 130.84563","Modelling LiDAR derived tree canopy height from Landsat TM, ETM plus and OLI satellite imagery-A machine learning approach",Canopy and biomass estimation,Satellite imagery
Iran,Remote sensing data,Predicting forest fires,"37.10022, 54.42439",Satellite-based ensemble intelligent approach for predicting forest fire: a case of the Hyrcanian forest in Iran,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Luoyang,Satellite remote sensing data,Estimating forest canopy height,"34.61824, 112.45404",Forest Canopy Height Retrieval Model Based on a Dual Attention Mechanism Deep Network,Canopy and biomass estimation,Satellite imagery or LiDAR
"Hunan Province, China",Sentinel-2 images,Estimating forest stock volume,"26.11131, 113.13343","Estimating Forest Stock Volume in Hunan Province, China, by Integrating In Situ Plot Data, Sentinel-2 Images, and Linear and Machine Learning Regression Models",Canopy and biomass estimation,Satellite imagery or LiDAR
"Lake Nakuru, Kenya",UAV drone imagery,Detection of degraded Acacia tree species,"-0.332778, 36.073056",DETECTION OF DEGRADED ACACIA TREE SPECIES USING DEEP NEURAL NETWORKS ON UAV DRONE IMAGERY,Tree species classification,Drone imagery
Not specified,Stereo WorldView-3,Mapping standing dead trees,Not specified,Mapping standing dead trees in temperate montane forests using a pixel-and object-based image fusion method and stereo WorldView-3 imagery,Tree species classification,Satellite imagery or LiDAR
China,Landsat 8 OLI imagery,Assessing forest damage from typhoons,"27.80058, 120.92869",Impact Assessments of Typhoon Lekima on Forest Damages in Subtropical China Using Machine Learning Methods and Landsat 8 OLI Imagery,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Elche, Spain",High-resolution RGB images,Classifying and locating palm trees,"38.2528, -0.7061",PALM TREE INVENTORY FROM AERIAL IMAGES USING RETINANET,Tree species classification,Drone imagery
Interior Alaska,Satellite imagery,Assessing burn severity,"64.2008, -149.4937",Assessing Wildfire Burn Severity and Its Relationship with Environmental Factors: A Case Study in Interior Alaska Boreal Forest,Forest fire monitoring and prevention,Satellite imagery
"Changsha, China",Remote sensing data,Predicting forest fire occurrence,"28.2277, 112.9389",Machine Learning for Predicting Forest Fire Occurrence in Changsha: An Innovative Investigation into the Introduction of a Forest Fuel Factor,Forest fire monitoring and prevention,Satellite imagery or LiDAR
"Grand Mesa, Colorado",Lidar data,Assessing forest structural controls on snow distribution and depth,"39.10638, -107.06966",Lidar and deep learning reveal forest structural controls on snowpack,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating gross primary productivity and net ecosystem exchange,Not specified,An Online Deep Convolutional Model of Gross Primary Productivity and Net Ecosystem Exchange Estimation for Global Forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Hyperspatial imagery,Mapping tree mortality,Not specified,Wildland Fire Tree Mortality Mapping from Hyperspatial Imagery Using Machine Learning,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,LiDAR and Landsat datasets,Predicting tree canopy height,Not specified,Modeling tree canopy height using machine learning over mixed vegetation landscapes,Canopy and biomass estimation,Satellite imagery or LiDAR
Northeast China,Airborne laser scanning data and WorldView-3 imagery,Estimating individual tree biomass,"45.80266, 128.87179",Estimation of Individual Tree Biomass in Natural Secondary Forests Based on ALS Data and WorldView-3 Imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
NASA AfriSAR Campaign,Data fusion,Forest canopy height estimation,"1.3521, 103.8198",A Machine-Learning Approach to PolInSAR and LiDAR Data Fusion for Improved Tropical Forest Canopy Height Estimation Using NASA AfriSAR Campaign Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Street-view images,Automated urban tree classification,Not specified,Challenges for computer vision as a tool for screening urban trees through street-view images,Tree species classification,Ground-level photographs
Republic of Tatarstan,Landsat imagery,Mapping forest vegetation,"55.7887, 48.7569",Forest Community Spatial Modeling Using Machine Learning and Remote Sensing Data,Tree species classification,Satellite imagery or LiDAR
Vietnam,Remote sensing data,Predicting forest fire susceptibility,"18.53634, 104.71312","Hybrid models based on deep learning neural network and optimization algorithms for the spatial prediction of tropical forest fire susceptibility in Nghe An province, Vietnam",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Brazil,Satellite images,Cocoa agroforest classification,"-3.4653, -62.2159",Optical time series for the separation of land cover types with similar spectral signatures: cocoa agroforest and forest,Forest cover assessment,Satellite imagery
Germany,LiDAR data,Monitoring biodiversity and habitat quality,"51.16569, 10.45153","Canopy structure influences arthropod communities within and beyond tree identity effects: Insights from combining LiDAR data, insecticidal fogging and machine learning regression modelling",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Switzerland,Satellite imagery,Monitoring forest dynamics,"46.81818, 8.22751",Accuracy and consistency of space-based vegetation height maps for forest dynamics in alpine terrain,Canopy and biomass estimation,Satellite imagery
Yakutia,Satellite images,Predicting forest fires,"60.000000, 142.000000",A Comparison of Two Machine Learning Classification Methods for Remote Sensing Predictive Modeling of the Forest Fire in the North-Eastern Siberia,Forest fire monitoring and prevention,Satellite imagery
Not specified,Hyperspectral images,Tree species classification,Not specified,Tree Species Classification from Airborne Hyperspectral Images Using Spatial-Spectral Network,Tree species classification,Satellite imagery or LiDAR
"Samcheok, Korea",Satellite imagery,Classifying natural and artificial forests,"35.60093, 129.18665",Classification of Natural and Artificial Forests from KOMPSAT-3/3A/5 Images Using Deep Neural Network,Tree species classification,Satellite imagery
Iran,Satellite imagery,Estimating aboveground biomass,"36.69111, 54.05500",Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran),Canopy and biomass estimation,Satellite imagery
Yosemite,Aerial images,Tree counting,"37.865101, -119.538329",Transformer for Tree Counting in Aerial Images,Canopy and biomass estimation,Drone imagery
Northeast China,Street view images,Investigating association between vegetation and childhood asthma,"41.8032, 123.4291",Associations between trees and grass presence with childhood asthma prevalence using deep learning image segmentation and a novel green view index,Habitat degradation and biodiversity monitoring,Ground-level photographs
South Korea,Remote sensing data,Estimating forest carbon stocks,"35.907757, 127.766922",National-scale temporal estimation of South Korean Forest carbon stocks using a machine learning-based meta model,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Satellite imagery,Tree segmentation,Not specified,Deep Semantic Segmentation of Trees Using Multispectral Images,Tree species classification,Satellite imagery
Guangdong,UAV data,Fruit tree segmentation,"23.12911, 113.25903",Taoism-Net: A Fruit Tree Segmentation Model Based on Minimalism Design for UAV Camera,Tree species classification,Drone imagery
Puerto Rico,Aerial imagery,Tree species mapping,"18.3178, -65.7578","Large-scale, image-based tree species mapping in a tropical forest using artificial perceptual learning",Tree species classification,Drone imagery
"Old Oyo National Park, Nigeria",Landsat satellite imageries,Determining the dynamics and eco-climatic predictors of forest conversion and restoration,"8.0, 4.0","Evaluating the dynamics and eco-climatic predictors of forest conversion and restoration in Old Oyo National Park, Nigeria using geospatial and machine learning techniques",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Northeastern China,Remote sensing data,Estimating forest above-ground biomass,"40.000000, 125.000000",Assessing scale-dependent effects on Forest biomass productivity based on machine learning,Canopy and biomass estimation,Satellite imagery or LiDAR
NE Spain,"Full-waveform LiDAR, Landsat-8 OLI",Forest fuels classification,"39.46975, -0.37739",Assessing GEDI-NASA system for forest fuels classification using machine learning techniques,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Turkey,Remote sensing data,Modeling forest fire occurrence,"37.00167, 35.24332",Forest fire occurrence modeling in Southwest Turkey using MaxEnt machine learning technique,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Contiguous U.S.,MODIS,Monitoring canopy water content,"37.09024, -95.71289",Forest Canopy Water Content Monitoring Using Radiative Transfer Models and Machine Learning,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Detecting white root rot in avocado trees,Not specified,Detection of White Root Rot in Avocado Trees by Remote Sensing,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Hyperspectral image,Land-cover classification,Not specified,KNOWLEDGE GUIDED CLASSIFICATION OF HYPERSPECTRAL IMAGE BASED ON HIERARCHICAL CLASS TREE,Tree species classification,Satellite imagery or LiDAR
Northeast China,UAV multisource remote sensing data,Individual tree species identification,"42.90292, 126.64165",Individual Tree Species Identification for Complex Coniferous and Broad-Leaved Mixed Forests Based on Deep Learning Combined with UAV LiDAR Data and RGB Images,Tree species classification,Satellite imagery or LiDAR
"Bhitarkanika wildlife sanctuary, India",Sentinel-1 and ALOS-2 PALSAR-2,Estimating aboveground biomass,"20.3201, 86.9346",A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest,Canopy and biomass estimation,Satellite imagery or LiDAR
Europe,SAPFLUXNET data,Predicting tree-level sap flow,"52.379189, 4.899431",Generalizing Tree-Level Sap Flow Across the European Continent,Tree species classification,Sensor data
Not specified,ICESat-2 data,Estimating forest structural parameters,Not specified,An Advanced Terrain Vegetation Signal Detection Approach for Forest Structural Parameters Estimation Using ICESat-2 Data,Canopy and biomass estimation,Satellite imagery or LiDAR
"Changzhutan urban cluster, China",Sentinel images,Mapping forest quality and site quality,"28.1135, 112.9388",Mapping forest and site quality of planted Chinese fir forest using sentinel images,Forest cover assessment,Satellite imagery or LiDAR
Iran,Field observations,Estimating susceptibility to logging damage,"36.0, 54.0",Spatial modeling of forest stand susceptibility to logging operations,Habitat degradation and biodiversity monitoring,Ground-level photographs
Not specified,LiDAR data,Estimating stem volume,Not specified,Combined Impact of Sample Size and Modeling Approaches for Predicting Stem Volume in Eucalyptus spp. Forest Plantations Using Field and LiDAR Data,Canopy and biomass estimation,Satellite imagery or LiDAR
South Korea,Aerial images,Monitoring forest disease,"35.9078, 127.7669",Efficient dead pine tree detecting method in the Forest damaged by pine wood nematode (Bursaphelenchus xylophilus) through utilizing unmanned aerial vehicles and deep learning-based object detection techniques,Habitat degradation and biodiversity monitoring,Drone imagery
India,Sentinel-2 data,Mapping spatial variability of foliar nitrogen and carbon,"30.8528, 78.0788",Mapping spatial variability of foliar nitrogen and carbon in Indian tropical moist deciduous sal (Shorea robusta) forest using machine learning algorithms and Sentinel-2 data,Canopy and biomass estimation,Satellite imagery or LiDAR
Beijing,UAV tilt photogrammetry,Tree species classification,"39.9042, 116.4074",Classification of Street Tree Species Using UAV Tilt Photogrammetry,Tree species classification,Drone imagery
