Location,Data,Goal,Coordinates,Title,Category
"Krasnoyarsk, Russia",UAV images,Assessing forest health by determining tree damage stages,"56.0171, 93.1455",Detection of Fir Trees (Abies sibirica) Damaged by the Bark Beetle in Unmanned Aerial Vehicle Images with Deep Learning,Tree species classification
Not specified,UAV-LiDAR and Sentinel-2 data,Estimating forest age,Not specified,Forest age estimation using UAV-LiDAR and Sentinel-2 data with machine learning algorithms- a case study of Masson pine (Pinus massoniana),Canopy and biomass estimation
"British Columbia, Canada",Spatial information,Simulating land cover change due to insect outbreaks,"53.7267, -127.6476","Integrating Neighborhood Effect and Supervised Machine Learning Techniques to Model and Simulate Forest Insect Outbreaks in British Columbia, Canada",Habitat degradation and biodiversity monitoring
North-Eastern China,Remote sensing data,Estimating forest aboveground biomass,"50.000000, 120.000000",Integrating Multi-Source Remote Sensing to Assess Forest Aboveground Biomass in the Khingan Mountains of North-Eastern China Using Machine-Learning Algorithms,Canopy and biomass estimation
"Changsha, China",Sentinel-2A imagery,Estimating fine fuel load,"28.2274, 112.9388","Estimating Fine Fuel Load Using Sentinel-2A Imagery and Machine Learning: A Case Study in the Mountainous Forests of Changsha, China",Forest fire monitoring and prevention
Not specified,Point cloud data,Semantic segmentation of forest structures,Not specified,Sensor Agnostic Semantic Segmentation of Structurally Diverse and Complex Forest Point Clouds Using Deep Learning,Canopy and biomass estimation
Southern China,Meteorological and terrain data,Predicting fine dead fuel moisture content,"24.396308, 102.835202",Comparative Analysis of Machine Learning-Based Predictive Models for Fine Dead Fuel Moisture of Subtropical Forest in China,Forest fire monitoring and prevention
Brunei,Sentinel-2 images,Tracking forest cover changes,"4.5353, 114.7277",Spatial-temporal mapping of forest vegetation cover changes along highways in Brunei using deep learning techniques and Sentinel-2 images,Forest cover assessment
South China,Airborne LiDAR and high-spatial-resolution remote sensing images,Mapping tree species diversity,"23.12911, 113.264385",Deep Learning Approaches for the Mapping of Tree Species Diversity in a Tropical Wetland Using Airborne LiDAR and High-Spatial-Resolution Remote Sensing Images,Tree species classification
Southern China,Landsat imagery,Assessing forest damage and recovery,"22.39644, 112.43964",Forest Damage by Super Typhoon Rammasun and Post-Disturbance Recovery Using Landsat Imagery and the Machine-Learning Method,Habitat degradation and biodiversity monitoring
Not specified,3D reconstruction data,Automated branch detection for pruning,Not specified,Automatic branch detection of jujube trees based on 3D reconstruction for dormant pruning using the deep learning-based method,Other
Southwest China,Crown profile data,Crown profile modeling,"25.0453, 102.6633",Deep learning for crown profile modelling of Pinus yunnanensis secondary forests in Southwest China,Canopy and biomass estimation
Poyang Lake National Nature Reserve,Landsat-8 imagery,Estimating aboveground biomass,"29.0450, 115.9999",Modeling wetland aboveground biomass in the Poyang Lake National Nature Reserve using machine learning algorithms and Landsat-8 imagery,Canopy and biomass estimation
Switzerland,Inventory data,Modeling growth dynamics in uneven-aged forests,"46.9896, 6.9293",Exploring the Potential of Machine Learning for Modeling Growth Dynamics in an Uneven-Aged Forest at the Level of Diameter Classes: A Comparative Analysis of Two Modeling Approaches,Canopy and biomass estimation
"Bengaluru, India",High-resolution satellite images,Mapping and monitoring Trees Outside Forest (TOF),"12.971599, 77.594566",Assessment of Trees Outside Forest (TOF) in Urban Landscape Using High-Resolution Satellite Images and Deep Learning Techniques,Tree species classification
Amazon Forest,Very high-resolution multispectral images,Mapping canopy palm distribution,"-3.46531, -62.21588",Regional Mapping and Spatial Distribution Analysis of Canopy Palms in an Amazon Forest Using Deep Learning and VHR Images,Canopy and biomass estimation
"Hainan, China",Survey and experimental data,Assessing forest health,"19.30302, 109.70631","Leveraging explainable machine learning models to assess forest health: A case study in Hainan, China",Habitat degradation and biodiversity monitoring
Not specified,Not specified,Segmenting partially occluded apple trees,Not specified,Semantic segmentation for partially occluded apple trees based on deep learning,Tree species classification
Africa,Sentinel-2 data,Creating large scale forest height maps,"-1.2921, 36.8219",Forest mapping and monitoring in Africa using Sentinel-2 data and deep learning,Canopy and biomass estimation
Not specified,Airborne P-band SAR data,Estimating forest biomass,"0.0, 0.0",Machine-Learning Applications for the Retrieval of Forest Biomass from Airborne P-Band SAR Data,Canopy and biomass estimation
India,Remote sensing data,Estimating above-ground biomass,"20.593684, 78.96288",Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis,Canopy and biomass estimation
Not specified,PlanetScope imagery,Estimating forest canopy cover,Not specified,From simple linear regression to machine learning methods: Canopy cover modelling of a young forest using planet data,Canopy and biomass estimation
Southern United States,Stereo 3D imaging,Quantifying tree architecture traits,"32.80653, -96.79685","Phenotyping of architecture traits of loblolly pine trees using stereo machine vision and deep learning: Stem diameter, branch angle, and branch diameter",Tree species classification
Not specified,Multispectral LiDAR,Individual tree segmentation,Not specified,An Improved Method for Individual Tree Segmentation in Complex Urban Scenes Based on Using Multispectral LiDAR by Deep Learning,Tree species classification
Not specified,RGB images,Tree species classification,Not specified,A deep learning-based mobile application for tree species mapping in RGB images,Tree species classification
"Nanning, Guangxi, China",TLS data,Segmenting vertical forest structure,"22.8179, 108.3665",Forest-PointNet: A Deep Learning Model for Vertical Structure Segmentation in Complex Forest Scenes,Canopy and biomass estimation
Not specified,LiDAR data,Tree species classification,Not specified,An Approach Based on Deep Learning for Tree Species Classification in LiDAR Data Acquired in Mixed Forest,Tree species classification
Not specified,Not specified,Forest fire detection,Not specified,SWVR: A Lightweight Deep Learning Algorithm for Forest Fire Detection and Recognition,Forest fire monitoring and prevention
Not specified,Leveled digital photography,Leaf angle distribution classification,Not specified,Exploring the potential of machine learning for leaf angle distribution type identification from leveled digital photography: A case study for broadleaf tree and shrub species,Tree species classification
Not specified,Not specified,Predicting biogeographical patterns of fungal productivity,Not specified,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,Habitat degradation and biodiversity monitoring
Not specified,RGB image data,Forest fire detection,Not specified,The Wildfire Dataset: Enhancing Deep Learning-Based Forest Fire Detection with a Diverse Evolving Open-Source Dataset Focused on Data Representativeness and a Novel Multi-Task Learning Approach,Forest fire monitoring and prevention
Madagascar,Satellite imagery,Forest cover mapping,"-18.5000, 48.5000","Forest Conservation with Deep Learning: A Deeper Understanding of Human Geography around the Betampona Nature Reserve, Madagascar",Forest cover assessment
Not specified,Image and sensor data,Enhancing disease detection in peach trees,Not specified,Integration of Image and Sensor Data for Improved Disease Detection in Peach Trees Using Deep Learning Techniques,Tree species classification
Turkey,Ground-truth data,Estimating biomass and carbon dioxide weight,"38.9637, 35.2433",Exploring machine learning modeling approaches for biomass and carbon dioxide weight estimation in Lebanon cedar trees,Canopy and biomass estimation
Not specified,Digital images,Tree branch detection,Not specified,Line-based deep learning method for tree branch detection from digital images,Tree species classification
"Tasmania, Australia",Satellite images and airborne LiDAR,Forest-type mapping,"-42.8821, 147.3272",Leveraging Machine Learning to Extend Ontology-Driven Geographic Object-Based Image Analysis (O-GEOBIA): A Case Study in Forest-Type Mapping,Tree species classification
Not specified,Helicopter imagery,Detection of symptomatic trees,Not specified,Detection of Pine-Wilt-Disease-Affected Trees Based on Improved YOLO v7,Habitat degradation and biodiversity monitoring
"Anhui Province, China",Remote sensing data,Forest fire prediction,"30.945125, 117.226199",A Forest Fire Susceptibility Modeling Approach Based on Integration Machine Learning Algorithm,Forest fire monitoring and prevention
France,Multi-sensor remote sensing data,Creating a high-resolution canopy height map,"44.35812, -0.91636","High-resolution canopy height map in the Landes forest (France) based on GEDI, Sentinel-1, and Sentinel-2 data with a deep learning approach",Canopy and biomass estimation
Switzerland,Aerial imagery,Monitoring forest response to climate and land use change,"46.81819, 8.22751",Multi-temporal forest monitoring in the Swiss Alps with knowledge-guided deep learning,Habitat degradation and biodiversity monitoring
Not specified,TerraSAR-X/TanDEM-X and LiDAR data,Estimating forest height,Not specified,Estimation of Forest Height Using Google Earth Engine Machine Learning Combined with Single-Baseline TerraSAR-X/TanDEM-X and LiDAR,Canopy and biomass estimation
Not specified,UAV hyperspectral images,Extracting Moso bamboo forest information,Not specified,A comparative study of the performances of joint RFE with machine learning algorithms for extracting Moso bamboo (Phyllostachys pubescens) forest based on UAV hyperspectral images,Forest cover assessment
Brazil,UAV images,Identifying invasive tree species,"-14.2350, -51.9253",Modeling and detection of invasive trees using UAV image and machine learning in a subtropical forest in Brazil,Tree species classification
Not specified,RGB-D camera data,Obscured branch segmentation and reconstruction for harvesting robots,Not specified,Obscured tree branches segmentation and 3D reconstruction using deep learning and geometrical constraints,Tree species classification
Austria,Forest inventories,Understanding structural diversity indicators for biodiversity assessments,"47.51621, 14.55006",Insights in forest structural diversity indicators with machine learning: what is indicated?,Habitat degradation and biodiversity monitoring
Not specified,Remote sensing data,Estimating forest productivity,Not specified,Forest-Scale Phenotyping: Productivity Characterisation Through Machine Learning,Canopy and biomass estimation
Not specified,Aerial RGB imagery,Tree canopy segmentation,Not specified,Semantic Segmentation of Tree-Canopy in Urban Environment with Pixel-Wise Deep Learning,Canopy and biomass estimation
Not specified,Hyperspectral images,Hyperspectral image classification,Not specified,Deep Multigrained Cascade Forest for Hyperspectral Image Classification,Tree species classification
Gabon,Bistatic synthetic aperture radar (SAR) data,Estimating forest height,"1.65000, 9.44400",A Deep Learning Framework for the Estimation of Forest Height From Bistatic TanDEM-X Data,Canopy and biomass estimation
United States,Remote sensing data,Detecting forest disturbances,"37.77493, -122.41942",A Combined Deep Learning and Prior Knowledge Constraint Approach for Large-Scale Forest Disturbance Detection Using Time Series Remote Sensing Data,Habitat degradation and biodiversity monitoring
Not specified,UAV datasets,Tree canopy extraction,Not specified,An Integrated Object and Machine Learning Approach for Tree Canopy Extraction from UAV Datasets,Canopy and biomass estimation
India,Remote sensing data,Predicting forest fire susceptibility,"20.4602, 85.8911","Forest fire susceptibility prediction using machine learning models with resampling algorithms, Northern part of Eastern Ghat Mountain range (India)",Forest fire monitoring and prevention
South Africa,Sentinel-2 data,Fruit-tree crop classification,"-30.5595, 22.9375",Exploring the Effect of Balanced and Imbalanced Multi-Class Distribution Data and Sampling Techniques on Fruit-Tree Crop Classification Using Different Machine Learning Classifiers,Tree species classification
Not specified,L-band SAR data,Estimating forest growing stock volume,Not specified,DEEP NEURAL NETWORKS FOR FOREST GROWING STOCK VOLUME RETRIEVAL: A COMPARATIVE ANALYSIS FOR L-BAND SAR DATA,Canopy and biomass estimation
Mid-Europe,Satellite imagery,Individual tree characterization,"48.79045, 9.17324",An Open Benchmark Dataset for Forest Characterization from Sentinel-1 and-2 Time Series,Tree species classification
New Zealand,National level databases,Modeling tree diameter,"-40.900557, 174.886",Modelling tree diameter of less commonly planted tree species in New Zealand using a machine learning approach,Tree species classification
Bavaria,UAV multispectral imagery,Tree species classification,"48.79045, 11.49789",Towards operational UAV-based forest health monitoring: Species identification and crown condition assessment by means of deep learning,Tree species classification
Morocco,High-resolution satellite imagery,Mapping tree crops,"31.7917, -7.0926",Toward Large-Scale Mapping of Tree Crops with High-Resolution Satellite Imagery and Deep Learning Algorithms: A Case Study of Olive Orchards in Morocco,Tree species classification
Not specified,Aerial and territorial images,Wildfire classification and localization,Not specified,An Attention-Guided Deep-Learning-Based Network with Bayesian Optimization for Forest Fire Classification and Localization,Forest fire monitoring and prevention
"Cardiff, Wales",Street-level imagery,Quantifying urban tree cover,"51.48158, -3.17909",A Hierarchical Urban Forest Index Using Street-Level Imagery and Deep Learning,Forest cover assessment
Not specified,Image segmentation data,Reducing false positive rates in fire plume detection systems,Not specified,Real-Time Integration of Segmentation Techniques for Reduction of False Positive Rates in Fire Plume Detection Systems during Forest Fires,Forest fire monitoring and prevention
Malaysia,Satellite imagery,Forest identification,"4.2105, 101.9758",Attention-Based Semantic Segmentation Networks for Forest Applications,Tree species classification
"Islamabad, Pakistan",Socio-economic and environmental variable data,Predicting forest fire occurrence,"33.6844, 72.8300","Spatio-temporal analysis of forest fire events in the Margalla Hills, Islamabad, Pakistan using socio-economic and environmental variable data with machine learning methods",Forest fire monitoring and prevention
Canada,Airborne laser scanning data,Estimating tree species compositions,"56.1304, -106.3468",Estimating tree species composition from airborne laser scanning data using point-based deep learning models,Tree species classification
South America,High-resolution satellite images,Assessing urban tree canopy coverage,"-14.2350, -51.9253",Continent-wide urban tree canopy fine-scale mapping and coverage assessment in South America with high-resolution satellite images,Canopy and biomass estimation
China,High Spatial Resolution Satellite Imagery,Mapping tree species distribution,"35.86166, 104.195397",An End-to-End Deep Fusion Model for Mapping Forests at Tree Species Levels with High Spatial Resolution Satellite Imagery,Tree species classification
Not specified,Not specified,Object identification,Not specified,BTS: a binary tree sampling strategy for object identification based on deep learning,Tree species classification
Ecuador,Satellite images,Estimating tree cover loss,"-1.58320, -78.43540",Tracking Cloud Forests With Cloud Technology and Random Forests,Forest cover assessment
"Hunan Province, China",Satellite monitoring hotspot data,Predicting forest fire occurrence,"27.10076, 112.98335","Mapping Forest Fire Risk Zones Using Machine Learning Algorithms in Hunan Province, China",Forest fire monitoring and prevention
Not specified,Hyperspectral data,Mangrove species classification,"0.00000, 0.00000",High-Resolution Mangrove Forests Classification with Machine Learning Using Worldview and UAV Hyperspectral Data,Tree species classification
Not specified,Lidar and hyperspectral data,Estimating forest height,Not specified,Evaluating Variable Selection and Machine Learning Algorithms for Estimating Forest Heights by Combining Lidar and Hyperspectral Data,Canopy and biomass estimation
Not specified,RGB photographs,Segmenting overlapping tree images,Not specified,Segmentation of Overlapping Tree Images in the Digital Photographs of Forest Areas,Tree species classification
Three-North region of China,Landsat-8 and GaoFen-2 satellite data,Estimating fractional forest cover,"40.000000, 100.000000",Mapping 30 m Fractional Forest Cover over China's Three-North Region from Landsat-8 Data Using Ensemble Machine Learning Methods,Forest cover assessment
Tunisia,Satellite images,Detecting olive tree stress,"33.8869, 9.5375",OLIVE TREE HEALTH MONITORING APPROACH USING SATELLITE IMAGES AND BASED ON ARTIFICIAL INTELLIGENCE: TOWARD AUTOMATIC OLIVE STRESS DETECTION SOLUTION,Tree species classification
Korea,Ecophysiological parameters,Tree mortality and growth reduction,"35.907757, 127.766922",Machine-learning modeling on tree mortality and growth reduction of temperate forests with climatic and ecophysiological parameters,Tree species classification
Hawai'i,High-resolution aerial imagery,Detecting invasive tree species,"21.3948, -157.9757",Comparing Interpretation of High-Resolution Aerial Imagery by Humans and Artificial Intelligence to Detect an Invasive Tree Species,Tree species classification
Not specified,High-resolution aerial photographs,Urban tree canopy mapping,Not specified,Application and Evaluation of a Deep Learning Architecture to Urban Tree Canopy Mapping,Canopy and biomass estimation
China,Fire data and risk factors,Predicting forest fire risk,"35.86166, 104.1954",A PSO-CNN-Based Deep Learning Model for Predicting Forest Fire Risk on a National Scale,Forest fire monitoring and prevention
Iran,Digital forest map,Understanding forest dieback,"32.00000, 53.00000",Role of environmental and stand factors on forest dieback: An approach using structural equation modelling and machine learning,Habitat degradation and biodiversity monitoring
Not specified,TanDEM-X bistatic InSAR data,Mapping tropical forests,"0.00000, 0.00000",Deep Learning for Mapping Tropical Forests with TanDEM-X Bistatic InSAR Data,Forest cover assessment
Not specified,UAV imagery,Monitoring forest fire risk,Not specified,Forest fire monitoring via uncrewed aerial vehicle image processing based on a modified machine learning algorithm,Forest fire monitoring and prevention
India,Remote sensing data,Estimating canopy height,"20.3679, 86.9639",Canopy Height Estimation Using Sentinel Series Images through Machine Learning Models in a Mangrove Forest,Canopy and biomass estimation
Not specified,UAV LiDAR point clouds,Individual tree detection,Not specified,Detection of Individual Trees in UAV LiDAR Point Clouds Using a Deep Learning Framework Based on Multichannel Representation,Tree species classification
China,UAV images,Monitoring pine wilt disease,"35.86166, 104.195397",Mapping large-scale pine wilt disease trees with a lightweight deep-learning model and very high-resolution UAV images,Habitat degradation and biodiversity monitoring
Central Croatia,Very high-resolution satellite imagery,Tree species classification,"45.16667, 18.16667",Tree Species Classification in Mixed Deciduous Forests Using Very High Spatial Resolution Satellite Imagery and Machine Learning Methods,Tree species classification
Not specified,TLS LiDAR data,Extracting standing wood feature parameters,Not specified,A Deep Learning-Based Method for Extracting Standing Wood Feature Parameters from Terrestrial Laser Scanning Point Clouds of Artificially Planted Forest,Canopy and biomass estimation
China,High spatial resolution satellite imagery,Mapping forest types at the tree species level,"36.57842, 116.36081",A Deep Fusion uNet for Mapping Forests at Tree Species Levels with Multi-Temporal High Spatial Resolution Satellite Imagery,Tree species classification
Not specified,UAV imagery,Tree crown identification and segmentation,Not specified,Precision silviculture: use of UAVs and comparison of deep learning models for the identification and segmentation of tree crowns in pine crops,Tree species classification
"Fars Province, Iran",Satellite imagery,Assessing forest fire susceptibility,"29.33333, 53.16667",Application of learning vector quantization and different machine learning techniques to assessing forest fire influence factors and spatial modelling,Forest fire monitoring and prevention
France,Terrestrial LiDAR,Classifying defects on tree trunks,"46.60335, 1.88833",A machine-learning approach for classifying defects on tree trunks using terrestrial LiDAR,Tree species classification
Not specified,Satellite imagery,Detecting and counting oil palms,Not specified,Young and mature oil palm tree detection and counting using convolutional neural network deep learning method,Tree species classification
China,Remote sensing data,Estimating forest aboveground biomass,"32.37331, 112.44922","Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China",Canopy and biomass estimation
Not specified,Airborne Laser Scanning data,Predicting tree-related microhabitats,Not specified,Machine Learning Algorithms to Predict Tree-Related Microhabitats using Airborne Laser Scanning,Habitat degradation and biodiversity monitoring
India,SAR remote sensing data,Estimating aboveground biomass,"28.4067, 80.3675",Aboveground biomass estimation using multi-sensor data synergy and machine learning algorithms in a dense tropical forest,Canopy and biomass estimation
Not specified,Remote sensing data,Estimating forest above-ground biomass,Not specified,A Novel Framework for Forest Above-Ground Biomass Inversion Using Multi-Source Remote Sensing and Deep Learning,Canopy and biomass estimation
Chile,Remote sensing data,Quantifying forest degradation,"-39.2019, -73.7762",Assessing forest degradation using multivariate and machine-learning methods in the Patagonian temperate rain forest,Habitat degradation and biodiversity monitoring
Northeastern China,Deep learning data,Predicting tree crown width,"42.60250, 126.99980",Prediction of tree crown width in natural mixed forests using deep learning algorithm,Tree species classification
Not specified,Street-level images,Urban tree mapping,"49.2827, -123.1207",Mapping trees along urban street networks with deep learning and street-level imagery,Tree species classification
Not specified,Satellite imagery,Classifying surface fuel types,"50.110924, 8.682127",Classifying surface fuel types based on forest stand photographs and satellite time series using deep learning,Forest fire monitoring and prevention
Not specified,RGB optical images,Tree species classification,Not specified,Tree species classification using deep learning and RGB optical images obtained by an unmanned aerial vehicle,Tree species classification
Eastern Ontario,Multispectral data,Deciduous tree species classification,"44.00000, -77.00000",Deciduous tree species classification using object-based analysis and machine learning with unmanned aerial vehicle multispectral data,Tree species classification
Peruvian Amazon rainforest,Remote sensing data,Classifying the risk of forest loss,"-5.00000, -70.00000",Classifying the risk of forest loss in the Peruvian amazon rainforest: An alternative approach for sustainable forest management using artificial intelligence,Habitat degradation and biodiversity monitoring
Not specified,High-resolution imagery,Oil palm tree detection and health classification,"3.139,"" 101.6869",Oil Palm Tree Detection and Health Classification on High-Resolution Imagery Using Deep Learning,Tree species classification
Northern Brazil,Aerial images,Oil-palm tree detection,"-4.00000, -60.00000",OIL-PALM TREE DETECTION IN AERIAL IMAGES COMBINING DEEP LEARNING CLASSIFIERS,Tree species classification
Germany,Satellite imagery,Predicting forest damage,"51.1657, 10.4515",DEEP LEARNING FOR THE DETECTION OF EARLY SIGNS FOR FOREST DAMAGE BASED ON SATELLITE IMAGERY,Habitat degradation and biodiversity monitoring
Not specified,Remote sensing data,Estimating biomass change,"25.0000, 100.0000",Use Remote Sensing and Machine Learning to Study the Changes of Broad-Leaved Forest Biomass and Their Climate Driving Forces in Nature Reserves of Northern Subtropics,Canopy and biomass estimation
"Heilongjiang Province, China",Artificial neural network data,Predicting and managing forest fires,"47.70088, 126.64047",Simulation of forest fire spread based on artificial intelligence,Forest fire monitoring and prevention
Not specified,RGB images,Tree trunk detection,Not specified,Tree Trunk Detection of Eastern Red Cedar in Rangeland Environment with Deep Learning Technique,Tree species classification
Europe,Eddy covariance data,Estimating net ecosystem production,"50.85045, 4.35174",Estimating Carbon Sink Strength of Norway Spruce Forests Using Machine Learning,Canopy and biomass estimation
"Sydney, Australia",Airborne multispectral imagery,Early detection surveillance of invasive forest pests,"-33.8688, 151.2093",Airborne multispectral imagery and deep learning for biosecurity surveillance of invasive forest pests in urban landscapes,Habitat degradation and biodiversity monitoring
Not specified,Forest landscape images,Forest fire detection,Not specified,Robust stacking-based ensemble learning model for forest fire detection,Forest fire monitoring and prevention
China,Machine learning models and UPLC methods,Assessing habitat suitability and quality ecology of E. ulmoides,"30.59276, 114.30554",Assessing the quality ecology of endemic tree species in China based on machine learning models and UPLC methods: The example of Eucommia ulmoides Oliv.,Habitat degradation and biodiversity monitoring
"Northeast Forestry University, China",UAV LiDAR data,Tree species classification,"45.55369, 126.96503",Classification of Individual Tree Species Using UAV LiDAR Based on Transformer,Tree species classification
Southern Brazil,Not specified,Estimating tree height," -30.0173, -51.2287","Enhancing Height Predictions of Brazilian Pine for Mixed, Uneven-Aged Forests Using Artificial Neural Networks",Canopy and biomass estimation
Not specified,Image processing,Smoke detection,Not specified,Real-time forest smoke detection using hand-designed features and deep learning,Forest fire monitoring and prevention
South Africa,UAV-based images,Classifying forest residues,"-30.5595, 22.9375",Assessing the potential for forest residue classification and distribution over clear felled areas using UAVs and Machine Learning: a preliminary case study in South Africa,Tree species classification
Not specified,Ground forest images,Tree species classification and growing stock volume estimation,Not specified,Classification of tree species and stock volume estimation in ground forest images using Deep Learning,Tree species classification
Nepal,MODIS,Mapping forest fire patterns and vulnerabilities,"28.3949, 84.1240",Forest fire pattern and vulnerability mapping using deep learning in Nepal,Forest fire monitoring and prevention
Not specified,Not specified,Tree trunk detection,Not specified,Tree trunk detection in urban scenes using a multiscale attention-based deep learning method,Tree species classification
Canada,Experimental fire data,Predicting wildfire behaviour,"56.130366, -106.346771",Using AutoML and generative AI to predict the type of wildfire propagation in Canadian conifer forests,Forest fire monitoring and prevention
"Hokkaido, Japan",Airborne RGB image,Tree species classification,"43.06417, 141.34694",TREE SPECIES MAPPING OF A HEMIBOREAL MIXED FOREST USING MASK R-CNN,Tree species classification
"Taiyue Mountain, Shanxi Province, China",Multi-source remote sensing data,Estimating forest above-ground biomass,"37.7421, 111.5371",Evaluation of machine learning methods and multi-source remote sensing data combinations to construct forest above-ground biomass models,Canopy and biomass estimation
Armenia,Remote sensing data,Mapping forest degradation and deforestation,"40.62696, 44.85719",Development and Application of Earth Observation Based Machine Learning Methods for Characterizing Forest and Land Cover Change in Dilijan National Park of Armenia between 1991 and 2019,Habitat degradation and biodiversity monitoring
Southeast China,UAV images,Measuring crown volume of peach trees,"25.274398, 102.712.Composite",A Robust Deep Learning Approach for the Quantitative Characterization and Clustering of Peach Tree Crowns Based on UAV Images,Tree species classification
Iberian Peninsula,Satellite imagery,Reconstructing spatiotemporal patterns of late frost defoliation,"40.4637, -3.7492",Satellite data and machine learning reveal the incidence of late frost defoliations on Iberian beech forests,Habitat degradation and biodiversity monitoring
Not specified,LiDAR data,Estimating forest total and component aboveground biomass,Not specified,Total and component forest aboveground biomass inversion via LiDAR-derived features and machine learning algorithms,Canopy and biomass estimation
Not specified,Not specified,Predicting forest fires,Not specified,A Forest Fire Identification System Based on Weighted Fusion Algorithm,Forest fire monitoring and prevention
Not specified,Not specified,Wildlife detection,Not specified,Wildlife Real-Time Detection in Complex Forest Scenes Based on YOLOv5s Deep Learning Network,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Forest fire detection,Not specified,Real-Time Forest Fire Detection Framework Based on Artificial Intelligence Using Color Probability Model and Motion Feature Analysis,Forest fire monitoring and prevention
Europe,Tree-ring data,Predicting tree growth variability,"50.85045, 4.35175",Predicting spatiotemporal variability in radial tree growth at the continental scale with machine learning,Tree species classification
"North Rhine-Westphalia, Germany",Remote sensing imagery,Forest type classification,"51.4216, 7.5337",Comparison of CNN-based segmentation models for forest type classification,Tree species classification
"Yunnan province, China",Remote sensing data,Tree species classification,"24.00000, 102.00000",Regionalized classification of stand tree species in mountainous forests by fusing advanced classifiers and ecological niche model,Tree species classification
"Quebec, Canada",UAV imagery,Tree species segmentation,"46.56031, -71.29216",Influence of temperate forest autumn leaf phenology on segmentation of tree species from UAV imagery using deep learning,Tree species classification
North-East Turkiye,High-resolution satellite imagery,Forest fire susceptibility mapping,"40.60000, 40.00000",FOREST FIRE SUSCEPTIBILITY ASSESSMENT WITH MACHINE LEARNING METHODS IN NORTH-EAST TURKIYE,Forest fire monitoring and prevention
Republic of Korea,Remote sensing data,Forest fire risk prediction,"35.907757, 127.766922",Development of a Forest Fire Diagnostic Model Based on Machine Learning Techniques,Forest fire monitoring and prevention
"Jinjiang, Fujian, China",Unmanned aerial vehicle images,Dead pine tree detection,"24.826, 118.628",Deep learning-based dead pine tree detection from unmanned aerial vehicle images,Tree species classification
Not specified,Photogrammetric data and LiDAR,Canopy height modelling,Not specified,Forest canopy height modelling based on photogrammetric data and machine learning methods,Canopy and biomass estimation
Northeast China,Airborne LiDAR data,Estimating forest aboveground carbon density,"45.75393, 128.79779",Combining Sample Plot Stratification and Machine Learning Algorithms to Improve Forest Aboveground Carbon Density Estimation in Northeast China Using Airborne LiDAR Data,Canopy and biomass estimation
Saudi Arabia,Aerial images,Automated palm tree counting,"24.7136, 46.6753",Deep-Learning-Based Automated Palm Tree Counting and Geolocation in Large Farms from Aerial Geotagged Images,Tree species classification
"Gangwon Province, South Korea",Remote sensing data,Forest fire classification,"37.43188, 128.12514",Deep Learning-based Forest Fire Classification Evaluation for Application of CAS500-4,Forest fire monitoring and prevention
Ukraine,Sentinel-2 imagery,Deforestation detection,"49.9935, 36.2304",Deep Learning for Regular Change Detection in Ukrainian Forest Ecosystem With Sentinel-2,Forest cover assessment
South Africa,Sentinel-2 imagery,Differentiating plantation forest genera,"-30.5595, 22.9375",Impact of Training Set Configurations for Differentiating Plantation Forest Genera with Sentinel-2 Imagery and Machine Learning,Tree species classification
Not specified,Not specified,Modeling forest fire spread,Not specified,Modeling Forest Fire Spread Using Machine Learning-Based Cellular Automata in a GIS Environment,Forest fire monitoring and prevention
Zhejiang Province,Survey and climate data,Estimating carbon sequestration potential,"29.1854, 120.1521",Estimating carbon sequestration potential and optimizing management strategies for Moso bamboo (Phyllostachys pubescens) forests using machine learning,Canopy and biomass estimation
Not specified,Acoustic spectrogram,Leaf density estimation,Not specified,Deep learning method for leaf-density estimation based on wind-excited audio of fruit-tree canopies,Canopy and biomass estimation
Lowland Sumatra,Drone-recorded and meteorological data,Predicting sap flux and leaf stomatal conductance,"-0.016536, 103.047300",Predicting Tree Sap Flux and Stomatal Conductance from Drone-Recorded Surface Temperatures in a Mixed Agroforestry System-A Machine Learning Approach,Canopy and biomass estimation
Pakistan,Multi-sensor satellite data,Aboveground biomass prediction,"35.1548, 74.5376",Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data,Canopy and biomass estimation
Brussels Capital Region,Satellite imagery,Tree species classification,"50.8503, 4.3517",Fusion of multi-temporal PlanetScope data and very high-resolution aerial imagery for urban tree species mapping,Tree species classification
Not specified,Remote sensing data,Assessing forest disturbance intensity patterns,Not specified,Multi-cyclone analysis and machine learning model implications of cyclone effects on forests,Habitat degradation and biodiversity monitoring
"Heilongjiang Province, China",LiDAR and true-colour point cloud,Tree species classification,"45.7546, 126.6463",Tree species classification based on PointNet plus plus deep learning and true- colour point cloud,Tree species classification
Germany,Satellite remote sensing data,Predicting biodiversity variables,"51.1657, 10.4515",Predicting Species and Structural Diversity of Temperate Forests with Satellite Remote Sensing and Deep Learning,Habitat degradation and biodiversity monitoring
